case_id,status,is_correct,score,score_fd,column_mapping_score,average_similarity,latency_seconds,cost,timestamp,error
1_60,correct,True,1.0,1.0,1.0,1.0,39.3,0.012265,2026-02-24T12:56:21.022094,
1_61,correct,True,1.0,1.0,1.0,1.0,49.46,0.015468,2026-02-24T12:57:01.245540,
1_62,error,False,,,,,,0.00502,2026-02-24T12:58:53.972588,"expected string or bytes-like object, got 'dict'"
1_63,correct,True,1.0,1.0,1.0,1.0,84.7,0.023715,2026-02-24T12:58:54.695191,
1_64,correct,True,1.0,1.0,1.0,1.0,1143.88,0.104678,2026-02-24T13:00:20.066376,
1_65,error,False,,,,,,0.006054,2026-02-24T13:20:27.590465,"expected string or bytes-like object, got 'dict'"
1_66,error,False,,,,,,0.005204,2026-02-24T13:21:17.622254,"expected string or bytes-like object, got 'dict'"
1_67,correct,True,1.0,1.0,1.0,1.0,38.59,0.013292,2026-02-24T13:21:18.276884,
1_68,correct,True,0.5,0.0,1.0,1.0,280.39,0.077526,2026-02-24T13:21:57.413123,
1_69,correct,True,1.0,1.0,1.0,1.0,196.8,0.068998,2026-02-24T13:26:38.659687,
1_70,correct,True,1.0,1.0,1.0,1.0,48.0,0.018328,2026-02-24T13:29:57.262281,
1_71,correct,True,1.0,1.0,1.0,1.0,36.54,0.012638,2026-02-24T13:30:45.824989,
1_72,correct,True,1.0,1.0,1.0,1.0,39.02,0.012608,2026-02-24T13:31:22.851647,
1_73,incorrect,False,,,,,310.62,0.111942,2026-02-24T13:32:02.530271,
1_74,error,False,,,,,,0.008676,2026-02-24T13:38:08.437847,"expected string or bytes-like object, got 'dict'"
1_75,error,False,,,,,,0.006579,2026-02-24T13:39:17.648756,"expected string or bytes-like object, got 'dict'"
1_76,correct,True,1.0,1.0,1.0,1.0,53.6,0.015471,2026-02-24T13:39:18.593708,
1_77,correct,True,1.0,1.0,1.0,1.0,62.95,0.022128,2026-02-24T13:40:12.742771,
1_78,incorrect,False,1.0,1.0,1.0,0.5,65.38,0.022647,2026-02-24T13:41:16.361148,
1_79,error,False,,,,,,0.007916,2026-02-24T13:43:28.743099,"expected string or bytes-like object, got 'dict'"
1_80,correct,True,1.0,1.0,1.0,1.0,35.16,0.012593,2026-02-24T13:43:29.369092,
1_81,correct,True,1.0,1.0,1.0,1.0,76.34,0.024804,2026-02-24T13:44:05.611216,
1_82,correct,True,1.0,1.0,1.0,1.0,94.03,0.029413,2026-02-24T13:45:22.556723,
1_83,correct,True,1.0,1.0,1.0,1.0,194.81,0.053492,2026-02-24T13:46:57.282911,
1_84,correct,True,0.5,0.0,1.0,1.0,271.61,0.081086,2026-02-24T13:50:12.799533,
1_85,error,False,,,,,,0.008533,2026-02-24T13:55:49.552652,"expected string or bytes-like object, got 'dict'"
1_86,incorrect,False,1.0,1.0,1.0,0.5,105.05,0.025298,2026-02-24T13:55:50.162120,
1_87,incorrect,False,1.0,1.0,1.0,0.5,181.07,0.047258,2026-02-24T13:57:35.807053,
1_88,correct,True,1.0,1.0,1.0,1.0,57.92,0.008879,2026-02-24T14:00:37.559647,
1_89,error,False,,,,,,0.05135,2026-02-24T14:06:59.885093,'NoneType' object is not subscriptable
1_90,error,False,,,,,,0.021214,2026-02-24T14:08:47.241290,"expected string or bytes-like object, got 'dict'"
1_91,incorrect,False,1.0,1.0,1.0,0.997531914893617,37.98,0.008863,2026-02-24T14:08:48.025251,
1_92,correct,True,1.0,1.0,1.0,1.0,28.83,0.007787,2026-02-24T14:09:26.600599,
1_93,incorrect,False,1.0,1.0,1.0,0.75,32.23,0.009997,2026-02-24T14:09:56.039644,
1_94,incorrect,False,0.6612903225806451,0.3225806451612903,1.0,0.0,285.05,0.086223,2026-02-24T14:10:29.821868,
1_95,incorrect,False,1.0,1.0,1.0,0.5,93.6,0.02507,2026-02-24T14:15:15.416043,
1_96,error,False,,,,,,0.006217,2026-02-24T14:18:00.380054,"expected string or bytes-like object, got 'dict'"
1_97,incorrect,False,1.0,1.0,1.0,0.5,44.87,0.013399,2026-02-24T14:18:00.916641,
