case_id,status,is_correct,score,score_fd,column_mapping_score,average_similarity,latency_seconds,cost,timestamp,error
1_30,correct,True,1.0,1.0,1.0,1.0,46.92,0.019556,2026-02-24T12:56:08.490470,
1_31,correct,True,1.0,1.0,1.0,1.0,76.56,0.02359,2026-02-24T12:56:56.085256,
1_32,error,False,,,,,,0.005651,2026-02-24T12:59:24.412714,"expected string or bytes-like object, got 'dict'"
1_33,correct,True,1.0,1.0,1.0,1.0,50.4,0.014534,2026-02-24T12:59:25.153795,
1_34,correct,True,0.5,0.0,1.0,1.0,274.69,0.083814,2026-02-24T13:00:16.143512,
1_35,correct,True,1.0,1.0,1.0,1.0,32.81,0.012082,2026-02-24T13:04:51.386796,
1_36,error,False,,,,,,0.007741,2026-02-24T13:06:31.955488,"expected string or bytes-like object, got 'dict'"
1_37,correct,True,1.0,1.0,1.0,1.0,48.62,0.014739,2026-02-24T13:06:32.612808,
1_38,error,False,,,,,,0.005384,2026-02-24T13:08:33.320422,"expected string or bytes-like object, got 'dict'"
1_39,error,False,,,,,,0.005112,2026-02-24T13:09:32.473520,"expected string or bytes-like object, got 'dict'"
1_40,incorrect,False,,,,,271.86,0.086407,2026-02-24T13:09:33.036342,
1_41,correct,True,1.0,1.0,1.0,1.0,106.07,0.033313,2026-02-24T13:14:06.493200,
1_42,correct,True,1.0,1.0,1.0,1.0,52.54,0.015671,2026-02-24T13:15:53.167382,
1_43,incorrect,False,0.8548387096774195,0.7096774193548389,1.0,0.0,234.09,0.097184,2026-02-24T13:16:46.180411,
1_44,incorrect,False,0.5,0.0,1.0,0.0,235.66,0.082631,2026-02-24T13:20:41.009641,
1_45,error,False,,,,,,0.005053,2026-02-24T13:25:33.849525,"expected string or bytes-like object, got 'dict'"
1_46,correct,True,1.0,1.0,1.0,1.0,42.55,0.014436,2026-02-24T13:25:34.555693,
1_47,correct,True,1.0,1.0,1.0,1.0,112.27,0.038645,2026-02-24T13:26:17.981781,
1_48,correct,True,1.0,1.0,1.0,1.0,49.59,0.014677,2026-02-24T13:28:10.829156,
1_49,correct,True,0.98,0.96,1.0,1.0,290.68,0.131475,2026-02-24T13:29:01.271509,
1_50,error,False,,,,,,0.008678,2026-02-24T13:35:01.538081,"expected string or bytes-like object, got 'dict'"
1_51,error,False,,,,,,0.005635,2026-02-24T13:35:54.224301,"expected string or bytes-like object, got 'dict'"
1_52,correct,True,1.0,1.0,1.0,1.0,114.87,0.039326,2026-02-24T13:35:54.877918,
1_53,correct,True,1.0,1.0,1.0,1.0,44.43,0.013737,2026-02-24T13:37:50.420546,
1_54,correct,True,1.0,1.0,1.0,1.0,61.2,0.020512,2026-02-24T13:38:35.434473,
1_55,correct,True,0.5,0.0,1.0,1.0,238.01,0.07145,2026-02-24T13:39:37.253131,
1_56,correct,True,0.8726235741444867,0.7452471482889733,1.0,1.0,317.94,0.106008,2026-02-24T13:43:36.512018,
1_57,error,False,,,,,,0.004631,2026-02-24T13:49:54.026300,"expected string or bytes-like object, got 'dict'"
1_58,correct,True,1.0,1.0,1.0,1.0,57.81,0.013465,2026-02-24T13:49:54.592038,
1_59,correct,True,1.0,1.0,1.0,1.0,40.55,0.014283,2026-02-24T13:50:53.009499,
1_60,correct,True,1.0,1.0,1.0,1.0,38.13,0.012347,2026-02-24T13:51:34.129209,
